image_id,artist_id,image_title,subject,style,museum,label,image_url
b2f6b3d0-67c6-4ef5-8e48-bb0cb8ad401b,49436397-ff5a-41c8-8816-3acceab47902,At Atlantic City,Landscape Art,American Landscape,,"29"" x 36""(74 cm x 91 cm) | 30"" x 40""(76 cm x 102 cm) | 36"" x 48""(91 cm x 122 cm) | 48"" x 60""(122 cm x 152 cm) | 54"" x 68""(137 cm x 173 cm)",https://upload.wikimedia.org/wikipedia/commons/0/05/William_Trost_Richards_-_Seascape_with_Distant_Lighthouse%2C_Atlantic_City%2C_New_Jersey_%281873%29.jpg
57e13e12-2c85-4796-9d9c-488e4565b9a4,9c35ae2f-2c35-4bc1-b0b0-16ff8260703e,"The Golden Bend in the Herengracht, Amsterdam, Seen from the West",Architectures,Rococo,Rijksmuseum,"24"" Long Edge | 30"" Long Edge | 36"" Long Edge | 36"" x 24""(91 cm x 61 cm) | 46"" x 30""(117 cm x 76 cm) | 54"" x 36""(137 cm x 91 cm) | 60"" x 40""(152 cm x 102 cm) | 72"" x 48""(183 cm x 122 cm)",https://upload.wikimedia.org/wikipedia/commons/c/cb/Gerrit_Adriaensz._Berckheyde_-_The_Bend_in_the_Herengracht_in_Amsterdam_-_WGA1920.jpg
baa3afbb-4990-4a68-9685-6311b50cbc65,4258c332-bb1e-4086-b986-b0314fbca8ae,Contra Composition XX,Abstract/Modern Art,,,"20"" x 20""(51 cm x 51 cm) | 24"" x 24""(61 cm x 61 cm) | 30"" x 30""(76 cm x 76 cm) | 36"" x 36""(91 cm x 91 cm) | 40"" x 40""(102 cm x 102 cm) | 48"" x 48""(122 cm x 122 cm) | 60"" x 60""(152 cm x 152 cm)",https://upload.wikimedia.org/wikipedia/commons/2/23/Theo_van_Doesburg_067.jpg
47888b2c-58dd-4501-8ea9-e76e131e93a1,3bc98e70-05da-4070-8894-3806f01eb1d9,"Windmill on the Water, Holland",Rivers/Lakes,Impressionism,,"20"" x 16""(51 cm x 41 cm) | 24"" x 20""(61 cm x 51 cm) | 30"" x 24""(76 cm x 61 cm) | 32"" x 26""(81 cm x 66 cm) | 36"" x 29""(91 cm x 74 cm) | 40"" x 30""(102 cm x 76 cm) | 48"" x 36""(122 cm x 91 cm) | 60"" x 48""(152 cm x 122 cm) | 68"" x 54""(173 cm x 137 cm)",https://upload.wikimedia.org/wikipedia/commons/0/0e/Het_jaagpad_Zes_Hollandse_gezichten_%28serietitel%29%2C_RP-P-OB-20.601.jpg
e0ce6f48-d0df-4894-9065-7f6b885289d3,db4dd489-6ffd-43fd-a975-35fd35ab7f2b,Lorenzo and Isabella,,Neo-Classicism,,"24"" Long Edge | 30"" Long Edge | 46"" x 30""(117 cm x 76 cm) | 54"" x 36""(137 cm x 91 cm) | 60"" x 40""(152 cm x 102 cm) | 72"" x 48""(183 cm x 122 cm)",https://upload.wikimedia.org/wikipedia/commons/d/d8/John_Everett_Millais_-_Isabella_-_Google_Art_Project.jpg
5df4cc5c-f50d-48ec-920d-449788614830,d85cd3f1-8f2b-45f9-b8a5-5a5676539eb1,Vue de Cassis,,Fauvism,,"20"" x 16""(51 cm x 41 cm) | 24"" x 20""(61 cm x 51 cm) | 30"" x 24""(76 cm x 61 cm) | 32"" x 26""(81 cm x 66 cm) | 36"" x 29""(91 cm x 74 cm) | 40"" x 30""(102 cm x 76 cm) | 48"" x 36""(122 cm x 91 cm) | 60"" x 48""(152 cm x 122 cm) | 68"" x 54""(173 cm x 137 cm)",https://upload.wikimedia.org/wikipedia/commons/f/f6/Vue_de_Cassis.webp
9889a933-fb76-48c8-bfa3-ccf340b3f3cd,f0fb6515-632f-4e33-9a5e-1751dfc87672,Wooded Landscape with a Man Talking to Two Seated Women,,Rococo,,"24"" x 20""(61 cm x 51 cm) | 30"" x 24""(76 cm x 61 cm) | 32"" x 26""(81 cm x 66 cm) | 36"" x 29""(91 cm x 74 cm) | 40"" x 30""(102 cm x 76 cm) | 48"" x 36""(122 cm x 91 cm) | 60"" x 48""(152 cm x 122 cm) | 68"" x 54""(173 cm x 137 cm)",https://upload.wikimedia.org/wikipedia/commons/3/36/Thomas_Gainsborough_-_Wooded_Landscape_with_a_Man_Talking_to_Two_Seated_Women_-_Google_Art_Project.jpg
5bf6151c-10cd-4462-98e4-838cce2f4aa5,07f911ed-c0e3-49d6-80a1-0739f48df30b,View of Auvers,,Post-Impressionism,Rijksmuseum,"20"" Long Edge | 20"" x 20""(51 cm x 51 cm) | 24"" Long Edge | 24"" x 24""(61 cm x 61 cm) | 30"" Long Edge | 30"" x 30""(76 cm x 76 cm) | 36"" Long Edge | 36"" x 36""(91 cm x 91 cm) | 40"" x 40""(102 cm x 102 cm) | 48"" x 48""(122 cm x 122 cm)",https://upload.wikimedia.org/wikipedia/commons/c/c5/Vincent_van_Gogh_-_View_from_the_window_of_Vincent%27s_studio_in_winter_I_%281883%29.jpg
8a5dfee1-55f6-4670-ad65-a555758c3403,6aec0557-65af-4e2f-bc73-6b0d68c326c8,Christ in the House of Mary and Martha,Christianity,Baroque,,"24"" Long Edge | 29"" x 36""(74 cm x 91 cm) | 30"" Long Edge | 30"" x 40""(76 cm x 102 cm) | 36"" x 48""(91 cm x 122 cm) | 48"" x 60""(122 cm x 152 cm) | 54"" x 68""(137 cm x 173 cm)",https://upload.wikimedia.org/wikipedia/commons/f/f1/Christ_in_the_House_of_Martha_and_Mary_-_Tintoretto.jpg
d2e7336a-ec2a-4134-9fe0-bad0b9eb5bb5,e15be2d5-5c6f-428c-97ef-4ddb4f9d1908,The Orchestra of the Opera,Musics,Impressionism,Musée d'Orsay,"20"" x 24""(51 cm x 61 cm) | 24"" x 30""(61 cm x 76 cm) | 26"" x 32""(66 cm x 81 cm) | 29"" x 36""(74 cm x 91 cm) | 30"" x 40""(76 cm x 102 cm) | 36"" x 48""(91 cm x 122 cm) | 48"" x 60""(122 cm x 152 cm) | 54"" x 68""(137 cm x 173 cm)",https://upload.wikimedia.org/wikipedia/commons/d/d2/Edgar_Degas_-_The_Orchestra_at_the_Opera_-_Google_Art_Project_2.jpg
49738642-2322-4bba-87ef-20aa6af0ad6a,1a56a769-c8d3-459c-9138-b814eda383af,The Lost Pleiad,Nude,Classicism,,"20"" x 40""(51 cm x 102 cm) | 24"" x 48""(61 cm x 122 cm) | 30"" x 60""(76 cm x 152 cm) | 36"" x 72""(91 cm x 183 cm) | 40"" x 80""(102 cm x 203 cm) | 48"" x 96""(122 cm x 244 cm)",https://upload.wikimedia.org/wikipedia/commons/d/dc/William-Adolphe_Bouguereau_%281825-1905%29_-_Lost_Pleiad_%281884%29.jpg
231ebe56-d603-4103-81e2-9e9bf4a6fe9c,91cb0ac3-3ec5-416b-bf5b-10109a767c9f,Autumn Landscape,Landscape Art,American Landscape,,"36"" x 24""(91 cm x 61 cm) | 46"" x 30""(117 cm x 76 cm) | 54"" x 36""(137 cm x 91 cm) | 60"" x 40""(152 cm x 102 cm) | 72"" x 48""(183 cm x 122 cm)",https://upload.wikimedia.org/wikipedia/commons/7/75/Bierstadt_Albert_Autumn_Landscape_The_Catskills.jpg
91059b2f-f754-4acc-bb34-cf16d4049e07,f0cdac3a-9395-4761-8c19-04d270673662,"Portrait of Emma Hart, later Lady Hamilton as the Cumaen Sibyl",,Neo-Classicism,,"20"" x 30""(51 cm x 76 cm) | 24"" x 36""(61 cm x 91 cm) | 30"" x 46""(76 cm x 117 cm) | 36"" x 54""(91 cm x 137 cm) | 40"" x 60""(102 cm x 152 cm) | 48"" x 72""(122 cm x 183 cm)",https://upload.wikimedia.org/wikipedia/commons/0/0a/Elisabeth_Vig%C3%A9e_Le_Brun_-_Emma_Hart%2C_later_Lady_Hamilton%2C_as_the_Cumaen_Sibyl.jpg
